ID,Incident_Date,State,CityorCounty,Num_Killed,Num_Injured
2322582,6-Jun-22,Ohio,Cleveland,1,0
2322940,5-Jun-22,South Carolina,Mount Croghan,1,0
2321704,4-Jun-22,Louisiana,Des Allemands,1,0
2318085,31-May-22,Ohio,Cleveland,1,0
2315205,28-May-22,Michigan,Grand Rapids,1,0
2322579,26-May-22,Florida,Orlando,1,0
2312692,26-May-22,Indiana,Indianapolis,1,0
2313469,26-May-22,Washington,Spanaway,1,0
2313112,25-May-22,West Virginia,Huntington,1,0
2312649,25-May-22,Oklahoma,Enid,1,0
2314313,23-May-22,Georgia,Moultrie,1,0
2310152,22-May-22,Arizona,Phoenix,1,0
2308610,21-May-22,Utah,Salt Lake City (West Valley City),1,0
2307608,20-May-22,North Carolina,Roanoke Rapids,1,0
2307218,20-May-22,Arizona,Tempe,1,0
2305354,18-May-22,Ohio,Bucyrus,1,0
2305610,18-May-22,Louisiana,Baton Rouge,1,0
2309708,17-May-22,Arizona,Phoenix,1,0
2305630,17-May-22,Delaware,Georgetown,1,0
2303670,16-May-22,New York,Bronx,1,0
2303515,16-May-22,Wisconsin,Blue Mounds,1,0
2304173,16-May-22,Iowa,Ankeny,1,0
2303474,15-May-22,Colorado,Commerce City,1,0
2301663,13-May-22,Arizona,Phoenix,1,0
2300812,12-May-22,North Carolina,Statesville,1,0
2297984,9-May-22,Tennessee,Johnson City (Gray),1,0
2297952,8-May-22,North Carolina,Rocky Mount,1,0
2301979,7-May-22,Texas,Trent,1,0
2296058,6-May-22,Washington,Pullman,1,0
2295738,5-May-22,Texas,Dallas,1,0
2296002,5-May-22,Alabama,Dutton,1,0
2293994,4-May-22,New York,Brooklyn,1,0
2294003,3-May-22,Georgia,Valdosta,1,0
2293216,3-May-22,Florida,Pembroke Pines,1,0
2293685,2-May-22,Arkansas,Sherwood,1,0
2292748,2-May-22,Texas,Katy,1,0
2293282,1-May-22,Nebraska,Aurora,1,0
2291903,1-May-22,Louisiana,Shreveport,1,0
2291798,30-Apr-22,Indiana,South Bend,1,0
2288933,26-Apr-22,Minnesota,Lake Lillian,1,0
2288433,26-Apr-22,Louisiana,New Orleans,1,0
2286385,24-Apr-22,South Carolina,Scranton,1,0
2285521,23-Apr-22,Texas,Houston,1,0
2285738,23-Apr-22,Louisiana,Lafayette,1,0
2283611,19-Apr-22,Indiana,Evansville,1,0
2282234,18-Apr-22,Minnesota,Lynd,1,0
2281849,17-Apr-22,Colorado,Denver,1,0
2281993,16-Apr-22,New York,Corona (Queens),1,0
2280526,15-Apr-22,Minnesota,Minneapolis,1,0
2280916,15-Apr-22,Ohio,Cleveland (South Euclid),1,0
2278104,13-Apr-22,Nevada,Henderson,1,0
2277989,13-Apr-22,Texas,Houston,1,1
2276842,12-Apr-22,New York,Bronx,1,0
2278012,12-Apr-22,Louisiana,Baton Rouge,1,0
2278610,12-Apr-22,North Carolina,Albemarle,1,0
2275952,11-Apr-22,Alabama,Opelika,1,0
2275528,10-Apr-22,Georgia,Columbus,1,0
2277765,10-Apr-22,Texas,El Paso,1,0
2278321,10-Apr-22,Idaho,Rathdrum,1,0
2276006,10-Apr-22,Colorado,Fort Collins,1,0
2275526,9-Apr-22,Montana,Billings,1,0
2275341,9-Apr-22,Texas,Waco,1,0
2273835,8-Apr-22,Georgia,Stone Mountain,1,0
2274050,8-Apr-22,Ohio,Vinton,1,0
2273983,7-Apr-22,Texas,Houston,1,0
2273462,7-Apr-22,Texas,Houston,1,0
2274219,7-Apr-22,Oklahoma,Kingfisher,1,0
2271885,6-Apr-22,Texas,Burkburnett,1,0
2272836,6-Apr-22,Tennessee,Nashville,1,0
2271185,5-Apr-22,Pennsylvania,Chester,1,0
2271766,5-Apr-22,Mississippi,Bay Saint Louis (Bayside Park),1,0
2270300,3-Apr-22,Florida,Jacksonville,1,0
