ID,Incident_Date,State,CityorCounty,Num_Killed,Num_Injured
2322276,6-Jun-22,Illinois,Chicago,0,1
2323055,5-Jun-22,Mississippi,Laurel,0,1
2322150,5-Jun-22,North Carolina,Goldsboro,0,1
2322907,5-Jun-22,South Carolina,Charleston,0,1
2322048,5-Jun-22,Illinois,Chicago,0,1
2321145,4-Jun-22,Kentucky,Louisville,0,1
2320914,4-Jun-22,Illinois,Chicago,0,1
2320608,4-Jun-22,Ohio,Columbus,0,1
2320734,3-Jun-22,Texas,Lubbock,0,1
2320580,3-Jun-22,Illinois,Chicago,0,1
2319593,2-Jun-22,Virginia,Portsmouth,0,1
2319110,2-Jun-22,Florida,Lake City,0,1
2320789,2-Jun-22,Ohio,Wapakoneta,0,2
2320019,2-Jun-22,Utah,Bountiful,0,1
2320472,2-Jun-22,Indiana,Franklin,0,1
2318994,1-Jun-22,Texas,Houston,0,1
2319954,1-Jun-22,Ohio,Akron,0,1
2318793,1-Jun-22,Pennsylvania,Towanda,0,1
2320470,1-Jun-22,Alabama,Bessemer,0,1
2318328,31-May-22,Texas,Houston,0,1
2317415,31-May-22,Indiana,Fort Wayne,0,2
2317930,31-May-22,Maryland,Baltimore,0,1
2317539,30-May-22,New York,Corona (Queens),0,1
2316335,30-May-22,Texas,Port Arthur,0,1
2319294,30-May-22,Florida,Sarasota (Siesta Key),0,1
2316133,30-May-22,Georgia,Atlanta,0,1
2316144,30-May-22,Arizona,Phoenix,0,1
2315621,29-May-22,Illinois,Decatur,0,1
2314897,28-May-22,Oregon,Portland,0,1
2317620,28-May-22,Minnesota,Minneapolis,0,1
2314856,28-May-22,Pennsylvania,Philadelphia,0,1
2315473,28-May-22,Texas,Austin,0,2
2314755,28-May-22,New York,New York (Manhattan),0,1
2314885,27-May-22,Oregon,Portland,0,2
2314057,27-May-22,Minnesota,Minneapolis,0,1
2314449,27-May-22,Kansas,Salina,1,1
2314127,27-May-22,Illinois,Chicago,0,3
2314157,27-May-22,Montana,Missoula,0,1
2315884,27-May-22,Minnesota,Karlstad (Standquist),0,2
2312972,26-May-22,Tennessee,Memphis,0,1
2318211,26-May-22,Ohio,Greenville,0,1
2313630,26-May-22,Oklahoma,Bethany,0,1
2312998,26-May-22,Texas,Arlington,0,1
2313362,26-May-22,Mississippi,Jackson,0,1
2313351,26-May-22,Louisiana,Baton Rouge,0,1
2317750,26-May-22,Texas,Lake Jackson,0,1
2312543,26-May-22,Kentucky,Louisville,0,1
2315702,26-May-22,Michigan,Ecorse,0,1
2312441,25-May-22,Idaho,Grangeville,0,1
2311845,25-May-22,Georgia,Forsyth,0,2
2316917,25-May-22,South Dakota,Yankton,0,1
2310798,24-May-22,South Carolina,North Charleston,0,1
2312171,24-May-22,Michigan,Saginaw,0,2
2310130,24-May-22,Alabama,Birmingham,0,2
2312614,24-May-22,California,Lemon Grove,0,1
2311001,24-May-22,Wisconsin,Milwaukee,0,1
2312322,23-May-22,Illinois,Freeport,0,1
2310144,23-May-22,Pennsylvania,Catasauqua,0,1
2310147,22-May-22,Iowa,Waukon,0,1
2310142,22-May-22,Georgia,Toccoa,0,1
2308918,22-May-22,New York,New York (Manhattan),0,1
2308357,21-May-22,Illinois,Chicago,0,1
2307939,21-May-22,Florida,Orlando,0,1
2309662,21-May-22,Virginia,Richmond,0,1
2306593,19-May-22,Virginia,Christiansburg,0,1
2306667,19-May-22,Virginia,Virginia Beach,0,1
2306464,19-May-22,Washington,Federal Way,0,1
2307799,19-May-22,Arkansas,Mena,1,0
2307510,18-May-22,Ohio,Attica,0,1
2306392,18-May-22,Florida,Dade City,1,2
2305534,18-May-22,Kentucky,Lexington,0,1
2306266,18-May-22,New Mexico,Santa Fe,0,1
2306688,18-May-22,Illinois,Champaign,0,2
2304854,17-May-22,Illinois,Chicago,0,1
2304207,16-May-22,Louisiana,Shreveport,0,1
2304675,16-May-22,Michigan,Muskegon,0,1
2304627,16-May-22,Ohio,Columbus,1,1
2304396,16-May-22,Washington,Lacrosse (La Crosse),0,1
2304282,16-May-22,Minnesota,Saint Paul,0,1
2306136,15-May-22,Tennessee,Dyersburg,0,1
2303193,15-May-22,Pennsylvania,Pittsburgh,0,1
2303845,15-May-22,Missouri,Saint Louis,0,1
2304394,15-May-22,Washington,Pullman,0,1
2304235,14-May-22,Ohio,Painesville,0,1
2302491,14-May-22,Ohio,Columbus,0,1
2301841,14-May-22,Ohio,Columbus,0,1
2302483,14-May-22,Minnesota,Minneapolis (Edina),0,1
2301692,14-May-22,Indiana,Indianapolis,0,3
2303421,14-May-22,Illinois,Chicago,0,1
2301434,13-May-22,Pennsylvania,Drexel Hill,0,1
2302239,13-May-22,North Carolina,Gastonia,0,1
2301830,13-May-22,Pennsylvania,Philadelphia,0,1
2301049,13-May-22,Missouri,Saint Louis,0,1
2301767,13-May-22,Georgia,Lagrange,0,1
2300857,12-May-22,Ohio,Cleveland,0,1
2306205,12-May-22,Nebraska,Lincoln,0,1
2301367,11-May-22,Ohio,Wellsville,0,1
2299368,11-May-22,Indiana,Indianapolis,0,1
2300861,11-May-22,California,Palo Alto,0,2
2298551,10-May-22,New York,Bronx,0,1
2299612,10-May-22,Illinois,Chicago,0,1
2301126,10-May-22,Ohio,Wellsville,0,1
2299352,10-May-22,New Mexico,Albuquerque,0,1
2298283,10-May-22,Ohio,Toledo,0,1
2298704,10-May-22,North Carolina,Rocky Mount,0,1
2298675,9-May-22,Iowa,Waterloo,0,2
2298173,9-May-22,Montana,Kalispell,0,1
2298953,9-May-22,Arkansas,Little Rock,0,1
2297301,8-May-22,Virginia,Henrico,0,1
2300249,8-May-22,Vermont,Hartford,0,1
2296526,7-May-22,North Carolina,Asheboro,0,1
2297081,7-May-22,Oklahoma,Oklahoma City,0,1
2297554,7-May-22,West Virginia,Elkins,0,1
2296742,7-May-22,Louisiana,Shreveport,0,1
2296343,7-May-22,Illinois,Chicago,2,1
2295056,5-May-22,Illinois,Chicago,0,1
2294863,5-May-22,Utah,Ogden,0,1
2294849,5-May-22,California,Fresno,0,1
2294293,4-May-22,Missouri,Saint Louis,0,1
2294571,4-May-22,Washington,Seattle,0,1
2293961,3-May-22,Michigan,Taylor,0,1
2294903,3-May-22,Utah,Park City,0,1
2315962,3-May-22,Arizona,Lakeside,0,1
2295340,2-May-22,Idaho,Coeur D Alene (Coeur D'alene),0,2
2294398,2-May-22,California,Oxnard,0,1
