ID,Incident_Date,State,CityorCounty,Num_Killed,Num_Injured
2321693,5-Jun-22,Michigan,Grand Rapids,1,3
2322804,5-Jun-22,South Carolina,Andrews,0,4
2321440,5-Jun-22,Arizona,Mesa,2,2
2321772,5-Jun-22,Michigan,Saginaw,3,2
2321532,5-Jun-22,Tennessee,Chattanooga,2,12
2321193,4-Jun-22,Michigan,Ecorse,0,4
2321593,4-Jun-22,South Carolina,Summerton,1,7
2321500,4-Jun-22,Georgia,Macon,1,3
2320673,4-Jun-22,Texas,El Paso (Socorro),0,5
2321266,4-Jun-22,Pennsylvania,Philadelphia,3,12
2320618,4-Jun-22,Arizona,Phoenix,1,8
2321698,4-Jun-22,New York,Hempstead,1,3
2320862,3-Jun-22,Nebraska,Omaha,1,3
2320361,3-Jun-22,Virginia,Chester,1,5
2318310,1-Jun-22,Oklahoma,Tulsa,5,0
2318046,31-May-22,Texas,Waco,0,4
2317016,30-May-22,South Carolina,Charleston,0,10
2316616,30-May-22,Michigan,Benton Harbor,1,6
2315903,30-May-22,Pennsylvania,Philadelphia,2,2
2315150,29-May-22,Oklahoma,Taft,1,7
2315333,29-May-22,California,Merced,1,3
2315892,29-May-22,Illinois,Chicago,1,4
2316364,29-May-22,Texas,Houston,0,4
2315605,29-May-22,Arizona,Phoenix,1,5
2315361,29-May-22,Nevada,Henderson,0,7
2315074,29-May-22,Illinois,Chicago,0,5
2314991,28-May-22,Tennessee,Chattanooga,0,6
2315338,28-May-22,California,Fresno,1,3
2315417,28-May-22,Florida,Malabar,0,4
2315190,28-May-22,Colorado,Colorado Springs,1,3
2314951,28-May-22,Tennessee,Memphis,0,4
2313988,27-May-22,Alabama,Anniston,0,6
2313970,27-May-22,Michigan,Stanwood,4,1
2312678,25-May-22,Pennsylvania,Philadelphia,0,4
2310278,24-May-22,Texas,Uvalde,22,17
2309711,23-May-22,South Carolina,North Charleston,0,5
2311123,23-May-22,Ohio,Cleveland,0,5
2308096,21-May-22,Indiana,Goshen,2,3
2308395,21-May-22,Washington,Tacoma,0,4
2307631,20-May-22,Florida,Kissimmee,1,3
2308017,20-May-22,California,Highland,1,8
2307813,20-May-22,Louisiana,New Orleans,1,3
2307044,19-May-22,Illinois,Chicago,2,7
2306277,18-May-22,Pennsylvania,Philadelphia,0,5
2305208,17-May-22,California,Palo Alto (East Palo Alto),1,3
2302847,15-May-22,California,Laguna Woods,1,5
2303130,15-May-22,North Carolina,Winston Salem (Winston-salem),0,7
2304029,15-May-22,North Carolina,Elizabeth City,0,4
2302740,15-May-22,Texas,Houston,2,3
2303337,15-May-22,Texas,Amarillo,1,4
2301751,14-May-22,New York,Buffalo,10,3
2301494,13-May-22,Wisconsin,Milwaukee,0,17
2300713,12-May-22,Arkansas,Hot Springs National Park (Hot Springs),1,4
